"goal","target","indicator","description","tier_proposed","tier_revised","tier_proposed_coded","tier_revised_coded"
"_2","_2_2","_2_2_2","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)","Tier I","Tier I","1","1"
"_2","_2_3","_2_3_1","Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size","Tier III","Tier III","3","3"
"_2","_2_3","_2_3_2","Average income of small-scale food producers, by sex and indigenous status","Tier III","Tier III","3","3"
"_2","_2_4","_2_4_1","Proportion of agricultural area under productive and sustainable agriculture","Tier III","Tier III","3","3"
"_2","_2_5","_2_5_1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","Tier II","Tier III - methodology/standards","2","3"
"_2","_2_5","_2_5_2","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","Tier I","Tier II - data availability","1","2"
"_2","_2_a","_2_a_1","The agriculture orientation index for government expenditures","Tier I","Tier I","1","1"
"_2","_2_a","_2_a_2","Total official flows (official development assistance plus other official flows) to the agriculture sector","Tier I","Tier I","1","1"
"_2","_2_b","_2_b_1","Producer Support Estimate","Tier I","Tier II - data coverage","1","2"
"_2","_2_b","_2_b_2","Agricultural export subsidies","Tier I","Tier I","1","1"
"_2","_2_c","_2_c_1","Indicator of food price anomalies","Tier II","Tier III","2","3"
"_3","_3_1","_3_1_1","Maternal mortality ratio","Tier I","Tier II - data","1","2"
"_3","_3_1","_3_1_2","Proportion of births attended by skilled health personnel","Tier I","Tier I","1","1"
"_3","_3_2","_3_2_1","Under-five mortality rate","Tier I","Tier I","1","1"
"_3","_3_2","_3_2_2","Neonatal mortality rate","Tier I","Tier I","1","1"
"_3","_3_3","_3_3_1","Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations","Tier I","Tier I","1","1"
"_3","_3_3","_3_3_2","Tuberculosis incidence per 1,000 population","Tier I","Tier I","1","1"
"_3","_3_3","_3_3_3","Malaria incidence per 1,000 population","Tier I","Tier I","1","1"
"_3","_3_3","_3_3_4","Hepatitis B incidence per 100,000 population","Tier II","Tier II","2","2"
"_3","_3_3","_3_3_5","Number of people requiring interventions against neglected tropical diseases","Tier I","Tier I","1","1"
"_3","_3_4","_3_4_1","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Tier II","Tier II","2","2"
"_3","_3_4","_3_4_2","Suicide mortality rate","Tier II","Tier II","2","2"
"_3","_3_5","_3_5_1","Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders","Tier III","Tier III","3","3"
"_3","_3_5","_3_5_2","Harmful use of alcohol, defined according to the national context as alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol","Tier I","Tier I","1","1"
"_3","_3_6","_3_6_1","Death rate due to road traffic injuries","Tier I","Tier I","1","1"
"_3","_3_7","_3_7_1","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","Tier I","Tier I","1","1"
"_3","_3_7","_3_7_2","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","Tier I","Tier I","1","1"
"_3","_3_8","_3_8_1","Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)","Tier II","Tier III - methodology/standards","2","3"
"_3","_3_8","_3_8_2","Number of people covered by health insurance or a public health system per 1,000 population","Tier III","Tier III","3","3"
"_3","_3_9","_3_9_1","Mortality rate attributed to household and ambient air pollution","Tier I","Tier I","1","1"
"_3","_3_9","_3_9_2","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)","Tier II","Tier II","2","2"
"_3","_3_9","_3_9_3","Mortality rate attributed to unintentional poisoning","Tier II","Tier II","2","2"
"_3","_3_a","_3_a_1","Age-standardized prevalence of current tobacco use among persons aged 15 years and older","-","Tier I","blank","1"
"_3","_3_b","_3_b_1","Proportion of the population with access to affordable medicines and vaccines on a sustainable basis","-","-","blank","blank"
"_3","_3_b","_3_b_2","Total net official development assistance to medical research and basic health sectors","Tier I","Tier I","1","1"
"_3","_3_c","_3_c_1","Health worker density and distribution","Tier II","Tier I","2","1"
"_3","_3_d","_3_d_1","International Health Regulations (IHR) capacity and health emergency preparedness","Tier II","Tier II","2","2"
"_4","_4_1","_4_1_1","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","Tier I","Tier III - international standard for all countries","1","3"
"_4","_4_2","_4_2_1","Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial wellbeing, by sex","Tier II","Tier II","2","2"
"_4","_4_2","_4_2_2","Participation rate in organized learning (one year before the official primary entry age), by sex","Tier I","Tier I","1","1"
"_4","_4_3","_4_3_1","Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","Tier II","Tier II","2","2"
"_4","_4_4","_4_4_1","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","Tier II","Tier II","2","2"
"_4","_4_5","_4_5_1","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","Tier I","Tier I/II/III - depending on indice","1","multiple"
"_4","_4_6","_4_6_1","Percentage of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","Tier I","Tier II","1","2"
"_4","_4_7","_4_7_1","Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessment","Tier I","Tier III - workplan on methodology","1","3"
"_4","_4_a","_4_a_1","Proportion of schools with access to: (a) electricity; (b) the Internet for pedagogical purposes; (c) computers for pedagogical purposes; (d) adapted infrastructure and materials for students with disabilities; (e) basic drinking water; (f) single-sex basic sanitation facilities; and (g) basic handwashing facilities (as per the WASH indicator definitions)","Tier I/II","Tier I/II","multiple","multiple"
"_4","_4_b","_4_b_1","Volume of official development assistance flows for scholarships by sector and type of study","Tier I","Tier I","1","1"
"_4","_4_c","_4_c_1","Proportion of teachers in: (a) pre- primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in- service required for teaching at the relevant level in a given country","Tier I","Tier I","1","1"
"_5","_5_1","_5_1_1","Whether or not legal frameworks are in place to promote, enforce and monitor equality and non_discrimination on the basis of sex","Tier III","Tier III","3","3"
"_5","_5_2","_5_2_1","Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age","Tier II","Tier II","2","2"
"_5","_5_2","_5_2_2","Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence","Tier II","Tier II","2","2"
"_5","_5_3","_5_3_1","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","Tier I","Tier I","1","1"
"_5","_5_3","_5_3_2","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","Tier I","Tier I","1","1"
"_5","_5_4","_5_4_1","Proportion of time spent on unpaid domestic and care work, by sex, age and location","Tier II","Tier II","2","2"
"_5","_5_5","_5_5_1","Proportion of seats held by women in national parliaments and local governments","Tier I (IPU/UN Women) / Tier III (World Bank)","Suggestions from UN Women and IPU: As indicated, this indicator includes Tier 1 and Tier III elements. Therefore, we would suggest modifying the indicator name slightly in the following way -- Proportion of seats held by women in (a) national parliaments and (b) local governments -- and classifying the subcomponents as Tier I and Tier III, respectively.","multiple","multiple"
"_5","_5_5","_5_5_2","Proportion of women in managerial positions","-","Tier I","blank","1"
"_5","_5_6","_5_6_1","Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","Tier II (UNFPA) / Tier II (WHO) / Tier III (World Bank)","Tier III","multiple","3"
"_5","_5_6","_5_6_2","Number of countries with laws and regulations that guarantee women aged 15-49 years access to sexual and reproductive health care, information and education","Tier III","Tier III","3","3"
"_5","_5_a","_5_a_1","(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure","Tier III","Tier III","3","3"
"_5","_5_a","_5_a_2","Proportion of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control","Tier II (FAO) / Tier III (World Bank)","Tier III","multiple","3"
"_5","_5_b","_5_b_1","Proportion of individuals who own a mobile telephone, by sex","Tier II","Tier II","2","2"
"_5","_5_c","_5_c_1","Proportion of countries with systems to track and make public allocations for gender equality and women's empowerment","Tier I (OECD) / Tier III (UN-Women)","Tier III","multiple","3"
"_6","_6_1","_6_1_1","Proportion of population using safely managed drinking water services","Tier I","Tier I","1","1"
"_6","_6_2","_6_2_1","Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water","Tier I","Tier I","1","1"
"_6","_6_3","_6_3_1","Proportion of wastewater safely treated","Tier I","Tier III - workplan on methodology","1","3"
"_6","_6_3","_6_3_2","Proportion of bodies of water with good ambient water quality","Tier II","Tier III","2","3"
"_6","_6_4","_6_4_1","Change in water-use efficiency over time","Tier II","Tier III - workplan on methodology","2","3"
"_6","_6_4","_6_4_2","Level of water stress: freshwater withdrawal as a proportion of available freshwater resources","Tier I","Tier I","1","1"
"_6","_6_5","_6_5_1","Degree of integrated water resources management implementation (0-100)","Tier I","Tier I","1","1"
"_6","_6_5","_6_5_2","Proportion of transboundary basin area with an operational arrangement for water cooperation","Tier II","Tier III","2","3"
"_6","_6_6","_6_6_1","Change in the extent of waterrelated ecosystems over time","Tier II","Tier III","2","3"
"_6","_6_a","_6_a_1","Amount of water- and sanitation- related official development assistance that is part of a government-coordinated spending plan","Tier I","Tier I","1","1"
"_6","_6_b","_6_b_1","Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management","Tier I","Tier I","1","1"
"_7","_7_1","_7_1_1","Proportion of population with access to electricity","Tier I","Tier I","1","1"
"_7","_7_1","_7_1_2","Proportion of population with primary reliance on clean fuels and technology","Tier I","Tier I","1","1"
"_7","_7_2","_7_2_1","Renewable energy share in the total final energy consumption","Tier I","Tier I","1","1"
"_7","_7_3","_7_3_1","Energy intensity measured in terms of primary energy and GDP","Tier I","Tier I","1","1"
"_7","_7_a","_7_a_1","Mobilized amount of United States dollars per year starting in 2020 accountable towards the $100 billion commitment","-","Tier III","blank","3"
"_7","_7_b","_7_b_1","Investments in energy efficiency as a percentage of GDP and the amount of foreign direct investment in financial transfer for infrastructure and technology to sustainable development services","Tier III","Tier III","3","3"
"_8","_8_1","_8_1_1","Annual growth rate of real GDP per capita","Tier I","Tier I","1","1"
"_8","_8_2","_8_2_1","Annual growth rate of real GDP per employed person","Tier I","Tier I","1","1"
"_8","_8_3","_8_3_1","Proportion of informal employment in non_agriculture employment, by sex","Tier II","Tier II","2","2"
"_8","_8_4","_8_4_1","Material footprint, material footprint per capita, and material footprint per GDP","Tier I","Tier II","1","2"
"_8","_8_4","_8_4_2","Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP","Tier I","Tier II","1","2"
"_8","_8_5","_8_5_1","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities","Tier I","Tier II","1","2"
"_8","_8_5","_8_5_2","Unemployment rate, by sex, age and persons with disabilities","Tier I","Tier I","1","1"
"_8","_8_6","_8_6_1","Proportion of youth (aged 15-24 years) not in education, employment or training","Tier I","Tier I","1","1"
"_8","_8_7","_8_7_1","Proportion and number of children aged 5_17 years engaged in child labour, by sex and age","Tier I","Tier I","1","1"
"_8","_8_8","_8_8_1","Frequency rates of fatal and nonfatal occupational injuries, by sex and migrant status","Tier I","Tier I","1","1"
"_8","_8_8","_8_8_2","Increase in national compliance of labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation, by sex and migrant status","Tier I","Tier I","1","1"
"_8","_8_9","_8_9_1","Tourism direct GDP as a proportion of total GDP and in growth rate","Tier II","Tier II","2","2"
"_8","_8_9","_8_9_2","Number of jobs in tourism industries as a proportion of total jobs and growth rate of jobs, by sex","Tier II","Tier II","2","2"
"_8","_8_10","_8_10_1","Number of commercial bank branches and automated teller machines (ATMs) per 100,000 adults","Tier I","Tier I","1","1"
"_8","_8_10","_8_10_2","Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile- money-service provider","Tier I","Tier I","1","1"
"_8","_8_a","_8_a_1","Aid for Trade commitments and disbursements","Tier I","Tier I","1","1"
"_8","_8_b","_8_b_1","Total government spending in social protection and employment programmes as a proportion of the national budgets and GDP","Tier III","Tier III","3","3"
"_9","_9_1","_9_1_1","Proportion of the rural population who live within 2 km of an all-season road","Tier II","Tier III","2","3"
"_9","_9_1","_9_1_2","Passenger and freight volumes, by mode of transport","Tier I","Tier I","1","1"
"_9","_9_2","_9_2_1","Manufacturing value added as a proportion of GDP and per capita","Tier I","Tier I","1","1"
"_9","_9_2","_9_2_2","Manufacturing employment as a proportion of total employment","Tier I","Tier I","1","1"
"_9","_9_3","_9_3_1","Proportion of small-scale industries in total industry value added","Tier I","Tier III","1","3"
"_9","_9_3","_9_3_2","Proportion of small-scale industries with a loan or line of credit","Tier I","Tier III","1","3"
"_9","_9_4","_9_4_1","CO2 emission per unit of value added","Tier I","Tier I","1","1"
"_9","_9_5","_9_5_1","Research and development expenditure as a proportion of GDP","Tier I","Tier I","1","1"
"_9","_9_5","_9_5_2","Researchers (in full-time equivalent) per million inhabitants","Tier I","Tier I","1","1"
"_9","_9_a","_9_a_1","Total official international support (official development assistance plus other official flows) to infrastructure","Tier I","Tier I","1","1"
"_9","_9_b","_9_b_1","Proportion of medium and high- tech industry value added in total value added","Tier I","Tier II","1","2"
"_9","_9_c","_9_c_1","Proportion of population covered by a mobile network, by technology","Tier I","Tier I","1","1"
"_10","_10_1","_10_1_1","Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population","Tier I","Tier I","1","1"
"_10","_10_2","_10_2_1","Proportion of people living below 50 per cent of median income, by age, sex and persons with disabilities","Tier III","Tier III","3","3"
"_10","_10_3","_10_3_1","Proportion of the population reporting having personally felt discriminated against or harassed within the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law","-","Tier III","blank","3"
"_10","_10_4","_10_4_1","Labour share of GDP, comprising wages and social protection transfers","Tier I","Tier I","1","1"
"_10","_10_5","_10_5_1","Financial Soundness Indicators","-","Tier III","-","3"
"_10","_10_6","_10_6_1","Proportion of members and voting rights of developing countries in international organizations","-","Tier I","-","1"
"_10","_10_7","_10_7_1","Recruitment cost borne by employee as a proportion of yearly income earned in country of destination","Tier III","Tier III","3","3"
"_10","_10_7","_10_7_2","Number of countries that have implemented well-managed migration policies","Tier II (IOM) / Tier III (WB)","Tier III","multiple","3"
"_10","_10_a","_10_a_1","Proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff","Tier I","Tier I","1","1"
"_10","_10_b","_10_b_1","Total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)","Tier I","Tier I (ODA) / Tier II (FDI)","1","multiple"
"_10","_10_c","_10_c_1","Remittance costs as a proportion of the amount remitted","-","-","blank","blank"
"_11","_11_1","_11_1_1","Proportion of urban population living in slums, informal settlements or inadequate housing","Tier I","Tier I","1","1"
"_11","_11_2","_11_2_1","Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities","Tier II","Tier II","2","2"
"_11","_11_3","_11_3_1","Ratio of land consumption rate to population growth rate","Tier II","Tier II","2","2"
"_11","_11_3","_11_3_2","Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically","-","Tier III","blank","3"
"_11","_11_4","_11_4_1","Total expenditure (public and private) per capita spent on the preservation, protection and conservation of all cultural and natural heritage, by type of heritage (cultural, natural, mixed and World Heritage Centre designation), level of government (national, regional and local/municipal), type of expenditure (operating expenditure/investment) and type of private funding (donations in kind, private non-profit sector and sponsorship)","Tier II","Tier III","2","3"
"_11","_11_5","_11_5_1","Number of deaths, missing persons and persons affected by disaster per 100,000 people","Tier II","Tier II","2","2"
"_11","_11_5","_11_5_2","Direct disaster economic loss in relation to global GDP, including disaster damage to critical infrastructure and a disruption of basic services","Tier II","Tier II","2","2"
"_11","_11_6","_11_6_1","Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities","Tier I","Tier II","1","2"
"_11","_11_6","_11_6_2","Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted)","Tier I","Tier I","1","1"
"_11","_11_7","_11_7_1","Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities","Tier II","Tier II","2","2"
"_11","_11_7","_11_7_2","Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months","Tier III","Tier III","3","3"
"_11","_11_a","_11_a_1","Proportion of population living in cities that implement urban and regional development plans integrating population projections and resource needs, by size of city","Tier III","Tier III","3","3"
"_11","_11_b","_11_b_1","Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030","Tier III","Tier III","3","3"
"_11","_11_b","_11_b_2","Number of countries with national and local disaster risk reduction strategies","Tier II","Tier II","2","2"
"_11","_11_c","_11_c_1","Proportion of financial support to the least developed countries that is allocated to the construction and retrofitting of sustainable, resilient and resource-efficient buildings utilizing local material","Tier III","Tier III","3","3"
"_12","_12_1","_12_1_1","Number of countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or a target into national policies","-","-","blank","blank"
"_12","_12_2","_12_2_1","Material footprint, material footprint per capita, and material footprint per GDP","Tier I (UNEP) / Tier II (OECD)","Tier II","multiple","2"
"_12","_12_2","_12_2_2","Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP","Tier I (UNEP) / Tier II (OECD)","Tier II","multiple","2"
"_12","_12_3","_12_3_1","Global food loss index","Tier III","Tier III","3","3"
"_12","_12_4","_12_4_1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","Tier I","Tier I","1","1"
"_12","_12_4","_12_4_2","Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment","-","Tier II","blank","2"
"_12","_12_5","_12_5_1","National recycling rate, tons of material recycled","-","Tier III","blank","3"
"_12","_12_6","_12_6_1","Number of companies publishing sustainability reports","Tier I","Tier III - no agreed methodology","1","fail"
"_12","_12_7","_12_7_1","Number of countries implementing sustainable public procurement policies and action plans","Tier III","Tier III","3","3"
"_12","_12_8","_12_8_1","Extent to which (i) global citizenship education and (ii) education for sustainable development (including climate change education) are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment","Tier I (UNESCO) / Tier II (UNEP)","Tier III - workplan on methodology","multiple","3"
"_12","_12_a","_12_a_1","Amount of support to developing countries on research and development for sustainable consumption and production and environmentally sound technologies","Tier II","Tier III","2","3"
"_12","_12_b","_12_b_1","Number of sustainable tourism strategies or policies and implemented action plans with agreed monitoring and evaluation tools","Tier III (UNWTO) / Tier II (UNEP)","Tier III","multiple","3"
"_12","_12_c","_12_c_1","Amount of fossil-fuel subsidies per unit of GDP (production and consumption) and as a proportion of total national expenditure on fossil fuels","Tier II","Tier III","2","3"
"_13","_13_1","_13_1_1","Number of countries with national and local disaster risk reduction a strategies","Tier II (UNISDR) / Tier III (UNEP)","Tier II","multiple","2"
"_13","_13_1","_13_1_2","Number of deaths, missing persons and persons affected by disaster per 100,000 people","Tier II (UNISDR) / Tier I (UNEP)","Tier II","multiple","2"
"_13","_13_2","_13_2_1","Number of countries that have communicated the establishment or operationalization of an integrated policy/strategy/plan which increases their ability to adapt to the adverse impacts of climate change, and foster climate resilience and low greenhouse gas emissions development in a manner that does not threaten food production (including a national adaptation plan, nationally determined contribution, national communication, biennial update report or other)","-","Tier III","blank","3"
"_13","_13_3","_13_3_1","Number of countries that have integrated mitigation, adaptation, impact reduction and early warning into primary, secondary and tertiary curricula","-","Tier III","blank","3"
"_13","_13_3","_13_3_2","Number of countries that have communicated the strengthening of institutional, systemic and individual capacity-building to implement adaptation, mitigation and technology transfer, and development actions","-","Tier III","blank","3"
"_13","_13_a","_13_a_1","Mobilized amount of United States dollars per year starting in 2020 accountable towards the $100 billion commitment","Tier III","Tier III","3","3"
"_13","_13_b","_13_b_1","Number of least developed countries and small island developing States that are receiving specialized support, and amount of support, including finance, technology and capacity-building, for mechanisms for raising capacities for effective climate change-related planning and management, including focusing on women, youth and local and marginalized communities","-","-","blank","blank"
"_14","_14_1","_14_1_1","Index of coastal eutrophication and floating plastic debris density","Tier II","Tier III","2","3"
"_14","_14_2","_14_2_1","Proportion of national exclusive economic zones managed using ecosystem based approaches","Tier II","Tier III","2","3"
"_14","_14_3","_14_3_1","Average marine acidity (pH) measured at agreed suite of representative sampling stations","Tier II","Tier III","2","3"
"_14","_14_4","_14_4_1","Proportion of fish stocks within biologically sustainable levels","Tier I","Tier I","1","1"
"_14","_14_5","_14_5_1","Coverage of protected areas in relation to marine areas","Tier I","Tier I","1","1"
"_14","_14_6","_14_6_1","Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing","Tier III","Tier III","3","3"
"_14","_14_7","_14_7_1","Sustainable fisheries as a percentage of GDP in small island developing States, least developed countries and all countries","Tier II","Tier III","2","3"
"_14","_14_a","_14_a_1","Proportion of total research budget allocated to research in the field of marine technology","Tier III","Tier III","3","3"
"_14","_14_b","_14_b_1","Progress by countries in the degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries","Tier III","Tier III","3","3"
"_14","_14_c","_14_c_1","Number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the United Nation Convention on the Law of the Sea, for the conservation and sustainable use of the oceans and their resources","Tier III","Tier III","3","3"
"_15","_15_1","_15_1_1","Forest area as a proportion of total land area","Tier I","Tier I","1","1"
"_15","_15_1","_15_1_2","Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type","Tier I","Tier I","1","1"
"_15","_15_2","_15_2_1","Progress towards sustainable forest management","Tier III (FAO) / Tier I (UNEP)","Tier III","multiple","3"
"_15","_15_3","_15_3_1","Proportion of land that is degraded over total land area","Tier II (UNCCD) / Tier III (FAO/UNEP)","Tier III","multiple","3"
"_15","_15_4","_15_4_1","Coverage by protected areas of important sites for mountain biodiversity","Tier I","Tier I","1","1"
"_15","_15_4","_15_4_2","Mountain Green Cover Index","Tier II","Tier II","2","2"
"_15","_15_5","_15_5_1","Red List Index","-","Tier I","blank","1"
"_15","_15_6","_15_6_1","Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits","Tier III","Tier III","3","3"
"_15","_15_7","_15_7_1","Proportion of traded wildlife that was poached or illicitly trafficked","Tier I (UNODC)","Tier I","fail","1"
"_15","_15_8","_15_8_1","Proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species","-","Tier III","blank","3"
"_15","_15_9","_15_9_1","Progress towards national targets established in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020","Tier III","Tier III","3","3"
"_15","_15_a","_15_a_1","Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems","Tier I (OECD) / Tier II (UNEP)","Tier I (ODA) / Tier III (public expenditure)","multiple","multiple"
"_15","_15_b","_15_b_1","Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems","Tier I (OECD) / Tier II (UNEP)","Tier I (ODA) / Tier III (public expenditure)","multiple","multiple"
"_15","_15_c","_15_c_1","Proportion of traded wildlife that was poached or illicitly trafficked","Tier I (UNODC)","Tier I","multiple","1"
"_16","_16_1","_16_1_1","Number of victims of intentional homicide per 100,000 population, by sex and age","Tier I","Tier I","1","1"
"_16","_16_1","_16_1_2","Conflict-related deaths per 100,000 population, by sex, age and cause","Tier I","Tier II / Tier III (pending provision of methodology from OHCHR)","1","multiple"
"_16","_16_1","_16_1_3","Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months","Tier II","Tier II","2","2"
"_16","_16_1","_16_1_4","Proportion of population that feel safe walking alone around the area they live","Tier I","Tier II","1","2"
"_16","_16_2","_16_2_1","Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month","Tier I","Tier I","1","1"
"_16","_16_2","_16_2_2","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","Tier II","Tier I","2","1"
"_16","_16_2","_16_2_3","Proportion of young women and men aged 18_29 years who experienced sexual violence by age 18","Tier II","Tier II","2","2"
"_16","_16_3","_16_3_1","Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms","Tier II","Tier II","2","2"
"_16","_16_3","_16_3_2","Unsentenced detainees as a proportion of overall prison population","Tier I","Tier I","1","1"
"_16","_16_4","_16_4_1","Total value of inward and outward illicit financial flows (in current United States dollars)","Tier III","Tier III","3","3"
"_16","_16_4","_16_4_2","Proportion of seized small arms and light weapons that are recorded and traced, in accordance with international standards and legal instruments","Tier II","Tier II","2","2"
"_16","_16_5","_16_5_1","Proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months","Tier II","Tier II","2","2"
"_16","_16_5","_16_5_2","Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months","Tier I","Tier I","1","1"
